,Time,status,qtt,Price,Pnl,motive
0,43768.0,OPEN,200.0,384.24,0.0,OPEN
1,2020-08-04 00:00:00,CLOSE,194.41848844472204,389.08,-5.581511555277956,TP
2,43768,OPEN,200.0,385.8,0.0,OPEN
3,2020-08-04 14:30:00,CLOSE,193.44323483670294,388.7,-6.556765163297058,TP
4,43768,OPEN,200.0,393.66,0.0,OPEN
5,2020-08-06 12:00:00,CLOSE,193.07300716354214,395.86,-6.926992836457856,TP
6,43768,OPEN,200.0,394.7,0.0,OPEN
7,2020-08-07 00:15:00,CLOSE,192.54968330377503,395.83,-7.450316696224974,TP
8,43768,OPEN,200.0,392.95,0.0,OPEN
9,2020-08-07 13:00:00,CLOSE,193.10426262883317,395.21,-6.895737371166831,TP
10,43768,OPEN,200.0,392.12,0.0,OPEN
11,2020-08-07 20:00:00,CLOSE,184.8119963276548,377.44,-15.18800367234519,TP
12,43768,OPEN,200.0,388.15,0.0,OPEN
13,2020-08-08 17:30:00,CLOSE,194.0033492206621,392.2,-5.996650779337898,TP
14,43768,OPEN,200.0,392.53,0.0,OPEN
15,2020-08-09 07:00:00,CLOSE,193.01250859806896,394.6,-6.987491401931038,TP
16,43768,OPEN,200.0,389.35,0.0,OPEN
17,2020-08-09 16:00:00,CLOSE,192.32053422370618,390.0,-7.679465776293824,TP
18,43768,OPEN,200.0,386.56,0.0,OPEN
19,2020-08-10 12:30:00,CLOSE,195.59602649006624,393.8,-4.403973509933763,TP
20,43768,OPEN,200.0,393.25,0.0,OPEN
21,2020-08-10 23:00:00,CLOSE,192.83977113795297,394.97,-7.160228862047035,TP
22,43768,OPEN,200.0,392.02,0.0,OPEN
23,2020-08-11 11:00:00,CLOSE,191.4661496862405,390.93,-8.533850313759501,TP
24,43768,OPEN,200.0,387.5,0.0,OPEN
25,2020-08-11 17:30:00,CLOSE,191.34596129032258,386.18,-8.654038709677423,TP
26,43768,OPEN,200.0,377.55,0.0,OPEN
27,2020-08-11 23:15:00,CLOSE,193.72395709177593,380.94,-6.2760429082240705,TP
28,43768,OPEN,200.0,371.63,0.0,OPEN
29,2020-08-12 06:45:00,CLOSE,193.4259343971154,374.39,-6.574065602884588,TP
30,43768,OPEN,200.0,387.48,0.0,OPEN
31,2020-08-13 10:45:00,CLOSE,192.5004645401053,388.49,-7.499535459894702,TP
32,43768,OPEN,200.0,420.36,0.0,OPEN
33,2020-08-14 04:45:00,CLOSE,193.9457607764773,424.62,-6.0542392235227,TP
34,43768,OPEN,200.0,436.27,0.0,OPEN
35,2020-08-15 00:30:00,CLOSE,193.10463703669745,438.78,-6.895362963302546,TP
36,43768,OPEN,200.0,436.46,0.0,OPEN
37,2020-08-15 08:15:00,CLOSE,192.75223388168448,438.17,-7.247766118315525,TP
38,43768,OPEN,200.0,433.12,0.0,OPEN
39,2020-08-15 10:00:00,CLOSE,193.96379756187662,437.55,-6.036202438123382,TP
40,43768,OPEN,200.0,430.68,0.0,OPEN
41,2020-08-15 15:15:00,CLOSE,194.1799944274171,435.57,-5.820005572582886,TP
42,43768,OPEN,200.0,431.89,0.0,OPEN
43,2020-08-15 22:00:00,CLOSE,193.5737340526523,435.43,-6.4262659473477015,TP
44,43768,OPEN,200.0,426.95,0.0,OPEN
45,2020-08-16 04:30:00,CLOSE,192.75999531561072,428.64,-7.240004684389277,TP
46,43768,OPEN,200.0,425.81,0.0,OPEN
47,2020-08-16 13:45:00,CLOSE,190.67433831990795,422.87,-9.325661680092054,TP
48,43768,OPEN,200.0,428.28,0.0,OPEN
49,2020-08-17 06:00:00,CLOSE,190.82992434855706,425.67,-9.170075651442943,TP
50,43768,OPEN,200.0,434.09,0.0,OPEN
51,2020-08-18 06:45:00,CLOSE,190.30597341565112,430.26,-9.694026584348876,TP
52,43768,OPEN,200.0,426.99,0.0,OPEN
53,2020-08-18 17:00:00,CLOSE,190.7769268601138,424.27,-9.223073139886196,TP
54,43768,OPEN,200.0,421.95,0.0,OPEN
55,2020-08-19 01:00:00,CLOSE,193.73821542836828,425.77,-6.261784571631722,TP
56,43768,OPEN,200.0,419.41,0.0,OPEN
57,2020-08-19 07:45:00,CLOSE,189.24870651629666,413.4,-10.751293483703336,TP
58,43768,OPEN,200.0,408.65,0.0,OPEN
59,2020-08-19 20:45:00,CLOSE,189.9608956319589,404.31,-10.039104368041109,TP
60,43768,OPEN,200.0,403.01,0.0,OPEN
61,2020-08-20 06:15:00,CLOSE,194.6059899258083,408.48,-5.394010074191698,TP
62,43768,OPEN,200.0,411.61,0.0,OPEN
63,2020-08-21 03:45:00,CLOSE,194.02444061125823,415.95,-5.975559388741772,TP
64,43768,OPEN,200.0,411.5,0.0,OPEN
65,2020-08-21 14:30:00,CLOSE,189.91902794653706,407.04,-10.080972053462943,TP
66,43768,OPEN,200.0,399.78,0.0,OPEN
67,2020-08-22 02:30:00,CLOSE,185.68452648956927,386.63,-14.315473510430735,TP
68,43768,OPEN,200.0,388.53,0.0,OPEN
69,2020-08-22 12:30:00,CLOSE,194.0260983707822,392.63,-5.973901629217806,TP
70,43768,OPEN,200.0,388.38,0.0,OPEN
71,2020-08-22 21:15:00,CLOSE,193.30511354858643,391.02,-6.694886451413566,TP
72,43768,OPEN,200.0,391.02,0.0,OPEN
73,2020-08-23 06:00:00,CLOSE,192.08838422587078,391.2,-7.911615774129217,TP
74,43768,OPEN,200.0,386.45,0.0,OPEN
75,2020-08-23 13:15:00,CLOSE,194.1115280113857,390.7,-5.888471988614299,TP
76,43768,OPEN,200.0,388.02,0.0,OPEN
77,2020-08-24 02:15:00,CLOSE,193.70218029998455,391.46,-6.297819700015452,TP
78,43768,OPEN,200.0,402.26,0.0,OPEN
79,2020-08-24 19:45:00,CLOSE,192.60140207825785,403.52,-7.398597921742152,TP
80,43768,OPEN,200.0,403.74,0.0,OPEN
81,2020-08-25 10:45:00,CLOSE,189.19898944865508,397.85,-10.801010551344916,TP
82,43768,OPEN,200.0,389.76,0.0,OPEN
83,2020-08-25 19:15:00,CLOSE,188.0,381.64,-12.0,TP
84,43768,OPEN,200.0,380.82,0.0,OPEN
85,2020-08-26 10:00:00,CLOSE,193.09910193792342,383.0,-6.900898062076578,TP
86,43768,OPEN,200.0,379.16,0.0,OPEN
87,2020-08-26 13:30:00,CLOSE,193.8280409325878,382.77,-6.171959067412189,TP
88,43768,OPEN,200.0,383.91,0.0,OPEN
89,2020-08-27 06:30:00,CLOSE,192.01500351644918,383.94,-7.984996483550816,TP
90,43768,OPEN,200.0,375.24,0.0,OPEN
91,2020-08-27 20:00:00,CLOSE,195.0700351774864,381.24,-4.929964822513597,TP
92,43768,OPEN,200.0,391.7,0.0,OPEN
93,2020-08-28 23:30:00,CLOSE,194.02930814398772,395.84,-5.97069185601228,TP
94,43768,OPEN,200.0,400.61,0.0,OPEN
95,2020-08-30 01:15:00,CLOSE,193.38508774119467,403.5,-6.614912258805333,TP
96,43768,OPEN,200.0,423.7,0.0,OPEN
97,2020-08-31 09:15:00,CLOSE,191.77795610101487,423.21,-8.222043898985135,TP
98,43768,OPEN,200.0,469.07,0.0,OPEN
99,2020-09-02 04:15:00,CLOSE,194.60327882831987,475.43,-5.396721171680127,TP
100,43768,OPEN,200.0,463.8,0.0,OPEN
101,2020-09-02 18:45:00,CLOSE,180.59094437257437,436.24,-19.40905562742563,TP
102,43768,OPEN,200.0,434.97,0.0,OPEN
103,2020-09-03 07:45:00,CLOSE,192.8475067246017,436.89,-7.152493275398314,TP
104,43768,OPEN,200.0,424.68,0.0,OPEN
105,2020-09-03 19:15:00,CLOSE,182.48318734105678,403.63,-17.516812658943223,TP
106,43768,OPEN,200.0,396.0,0.0,OPEN
107,2020-09-04 03:15:00,CLOSE,187.82545454545453,387.39,-12.174545454545466,TP
108,43768,OPEN,200.0,376.22,0.0,OPEN
109,2020-09-04 07:45:00,CLOSE,196.99622561267344,386.01,-3.0037743873265583,TP
110,43768,OPEN,200.0,386.16,0.0,OPEN
111,2020-09-04 16:30:00,CLOSE,192.68116842759474,387.53,-7.318831572405259,TP
112,43768,OPEN,200.0,381.33,0.0,OPEN
113,2020-09-05 06:30:00,CLOSE,195.10660058217292,387.5,-4.893399417827084,TP
114,43768,OPEN,200.0,376.6,0.0,OPEN
115,2020-09-05 14:30:00,CLOSE,181.42623473181095,355.86,-18.57376526818905,TP
116,43768,OPEN,200.0,340.34,0.0,OPEN
117,2020-09-05 22:00:00,CLOSE,188.49103837339135,334.12,-11.508961626608652,TP
118,43768,OPEN,200.0,317.08,0.0,OPEN
119,2020-09-06 06:45:00,CLOSE,200.47130061814056,331.07,0.47130061814056035,TP
120,43768,OPEN,200.0,338.45,0.0,OPEN
121,2020-09-06 16:15:00,CLOSE,198.83586940463883,350.5,-1.164130595361172,TP
122,43768,OPEN,200.0,346.73,0.0,OPEN
123,2020-09-07 07:15:00,CLOSE,192.27687249444813,347.23,-7.723127505551872,TP
124,43768,OPEN,200.0,333.46,0.0,OPEN
125,2020-09-07 14:15:00,CLOSE,194.9307263239969,338.55,-5.0692736760030925,TP
126,43768,OPEN,200.0,345.52,0.0,OPEN
127,2020-09-08 06:45:00,CLOSE,194.23940727020144,349.55,-5.76059272979856,TP
128,43768,OPEN,200.0,340.03,0.0,OPEN
129,2020-09-08 14:00:00,CLOSE,192.75099255948007,341.36,-7.249007440519932,TP
130,43768,OPEN,200.0,334.3,0.0,OPEN
131,2020-09-08 21:45:00,CLOSE,194.38923122943464,338.46,-5.6107687705653575,TP
132,43768,OPEN,200.0,329.22,0.0,OPEN
133,2020-09-08 22:45:00,CLOSE,196.0882084928012,336.23,-3.9117915071988136,TP
134,43768,OPEN,200.0,350.78,0.0,OPEN
135,2020-09-10 00:00:00,CLOSE,194.87906950225215,356.04,-5.12093049774785,TP
136,43768,OPEN,200.0,364.19,0.0,OPEN
137,2020-09-10 10:00:00,CLOSE,193.89263845794775,367.78,-6.107361542052246,TP
138,43768,OPEN,200.0,363.65,0.0,OPEN
139,2020-09-11 06:45:00,CLOSE,191.3347449470645,362.39,-8.665255052935493,TP
140,43768,OPEN,200.0,368.65,0.0,OPEN
141,2020-09-12 04:15:00,CLOSE,193.35412993354134,371.25,-6.645870066458656,TP
142,43768,OPEN,200.0,367.75,0.0,OPEN
143,2020-09-12 09:15:00,CLOSE,192.60562882392932,368.91,-7.394371176070678,TP
144,43768,OPEN,200.0,366.32,0.0,OPEN
145,2020-09-12 14:15:00,CLOSE,194.2485258790129,370.61,-5.751474120987098,TP
146,43768,OPEN,200.0,385.0,0.0,OPEN
147,2020-09-13 09:00:00,CLOSE,192.97246753246753,386.95,-7.027532467532467,TP
148,43768,OPEN,200.0,382.5,0.0,OPEN
149,2020-09-13 19:00:00,CLOSE,181.20282352941177,360.99,-18.797176470588226,TP
150,43768,OPEN,200.0,358.39,0.0,OPEN
151,2020-09-14 01:45:00,CLOSE,194.83936493763778,363.69,-5.160635062362218,TP
152,43768,OPEN,200.0,372.27,0.0,OPEN
153,2020-09-14 23:30:00,CLOSE,194.12490933999516,376.39,-5.875090660004844,TP
154,43768,OPEN,200.0,370.26,0.0,OPEN
155,2020-09-15 10:30:00,CLOSE,194.4164641063037,374.92,-5.5835358936963075,TP
156,43768,OPEN,200.0,364.28,0.0,OPEN
157,2020-09-15 21:30:00,CLOSE,193.54430657735807,367.21,-6.455693422641929,TP
158,43768,OPEN,200.0,361.45,0.0,OPEN
159,2020-09-16 04:15:00,CLOSE,192.32934015769817,362.07,-7.670659842301831,TP
160,43768,OPEN,200.0,376.68,0.0,OPEN
161,2020-09-17 10:45:00,CLOSE,193.6565785281937,379.93,-6.343421471806295,TP
162,43768,OPEN,200.0,383.54,0.0,OPEN
